major,minor,patch,date,datetime,time,type,time
0,60,NA,12/4/1997,1997-12-04T08:47:58Z,12:47:58 AM,patch,
0,61,NA,12/21/1997,1997-12-21T13:09:22Z,12:09:22 AM,minor,
0,61,1,1/10/1998,1998-01-10T00:31:55Z,12:31:55 AM,patch,
0,61,2,3/14/1998,1998-03-14T19:25:55Z,12:25:55 AM,patch,
0,61,3,5/2/1998,1998-05-02T07:58:17Z,12:58:17 AM,patch,
0,62,NA,6/14/1998,1998-06-14T12:56:20Z,12:56:20 AM,minor,
0,62,1,6/14/1998,1998-06-14T22:13:25Z,12:13:25 AM,patch,
0,62,2,7/10/1998,1998-07-10T11:13:45Z,12:13:45 AM,patch,
0,62,3,8/28/1998,1998-08-28T09:02:19Z,12:02:19 AM,patch,
0,62,4,10/23/1998,1998-10-23T12:08:41Z,12:08:41 AM,patch,
0,63,NA,11/13/1998,1998-11-13T14:37:19Z,12:37:19 AM,minor,
0,63,1,12/4/1998,1998-12-04T13:06:28Z,12:06:28 AM,patch,
0,63,2,1/11/1999,1999-01-11T12:55:50Z,12:55:50 AM,patch,
0,63,3,3/5/1999,1999-03-05T14:27:14Z,12:27:14 AM,patch,
0,64,NA,4/7/1999,1999-04-07T13:19:41Z,12:19:41 AM,minor,
0,64,1,5/7/1999,1999-05-07T13:25:43Z,12:25:43 AM,patch,
0,64,2,7/2/1999,1999-07-02T12:23:15Z,12:23:15 AM,patch,
0,65,NA,8/27/1999,1999-08-27T10:29:29Z,12:29:29 AM,minor,
0,65,1,10/6/1999,1999-10-06T12:13:04Z,12:13:04 AM,patch,
0,90,NA,11/22/1999,1999-11-22T12:25:14Z,12:25:14 AM,minor,
0,90,1,12/15/1999,1999-12-15T12:29:07Z,12:29:07 AM,patch,
0,99,NA,2/7/2000,2000-02-07T11:24:50Z,12:24:50 AM,minor,
1,0,NA,2/29/2000,2000-02-29T08:55:23Z,12:55:23 AM,major,
1,0,1,4/14/2000,2000-04-14T08:44:18Z,12:44:18 AM,patch,
1,1,NA,6/15/2000,2000-06-15T08:43:21Z,12:43:21 AM,minor,
1,1,1,8/15/2000,2000-08-15T08:54:18Z,12:54:18 AM,patch,
1,2,NA,12/15/2000,2000-12-15T10:19:25Z,12:19:25 AM,minor,
1,2,1,1/15/2001,2001-01-15T10:18:01Z,12:18:01 AM,patch,
1,2,2,2/26/2001,2001-02-26T12:43:25Z,12:43:25 AM,patch,
1,2,3,4/26/2001,2001-04-26T11:29:47Z,12:29:47 AM,patch,
1,3,NA,6/22/2001,2001-06-22T10:41:02Z,12:41:02 AM,minor,
1,3,1,8/31/2001,2001-08-31T12:45:52Z,12:45:52 AM,patch,
1,4,NA,12/19/2001,2001-12-19T10:14:54Z,12:14:54 AM,minor,
1,4,1,1/30/2002,2002-01-30T11:57:35Z,12:57:35 AM,patch,
1,5,0,4/29/2002,2002-04-29T10:01:26Z,12:01:26 AM,minor,
1,5,1,6/17/2002,2002-06-17T11:20:33Z,12:20:33 AM,patch,
1,6,0,10/1/2002,2002-10-01T10:06:31Z,12:06:31 AM,minor,
1,6,1,11/1/2002,2002-11-01T10:33:17Z,12:33:17 AM,patch,
1,6,2,1/10/2003,2003-01-10T15:34:34Z,12:34:34 AM,patch,
1,7,0,4/16/2003,2003-04-16T12:58:07Z,12:58:07 AM,minor,
1,7,1,6/16/2003,2003-06-16T09:54:39Z,12:54:39 AM,patch,
1,8,0,10/8/2003,2003-10-08T11:13:59Z,12:13:59 AM,minor,
1,8,1,11/21/2003,2003-11-21T12:00:21Z,12:00:21 AM,patch,
1,9,0,4/12/2004,2004-04-12T10:36:38Z,12:36:38 AM,minor,
1,9,1,6/21/2004,2004-06-21T11:09:39Z,12:09:39 AM,patch,
2,0,0,10/4/2004,2004-10-04T14:24:38Z,12:24:39 AM,major,
2,0,1,11/15/2004,2004-11-15T14:16:30Z,12:16:30 AM,patch,
2,1,0,4/18/2005,2005-04-18T22:26:33Z,12:26:33 AM,minor,
2,1,1,6/20/2005,2005-06-20T09:27:13Z,12:27:13 AM,patch,
2,2,0,10/6/2005,2005-10-06T10:22:14Z,12:22:14 AM,minor,
2,2,1,12/20/2005,2005-12-20T10:35:21Z,12:35:22 AM,patch,
2,3,0,4/24/2006,2006-04-24T10:37:20Z,12:37:21 AM,minor,
2,3,1,6/1/2006,2006-06-01T08:25:33Z,12:25:34 AM,patch,
2,4,0,10/3/2006,2006-10-03T10:15:04Z,12:15:04 AM,minor,
2,4,1,12/18/2006,2006-12-18T09:49:23Z,12:49:24 AM,patch,
2,5,0,4/24/2007,2007-04-24T09:41:43Z,12:41:43 AM,minor,
2,5,1,6/28/2007,2007-06-28T11:17:06Z,12:17:06 AM,patch,
2,6,0,10/3/2007,2007-10-03T09:02:53Z,12:02:53 AM,minor,
2,6,1,11/26/2007,2007-11-26T14:14:04Z,12:14:04 AM,patch,
